Genes,logFC,P.Value
AK042768,-0.600586488,0.019925207
AK043184,-0.559047005,0.005964131
AK043378,-0.653199761,0.007397067
AK043468,-0.763409873,0.026706295
AK043660,-0.761711154,0.039249393
AK044114,-1.173937254,0.009984818
AK044799,-0.72412666,0.006244496
AK045458,-2.218326057,0.02121091
AK045477,-0.629679081,0.000206195
AK045702,-1.038373649,0.020083565
AK045942,-1.274583547,0.023595786
AK045982,-0.533087606,0.014336756
AK046230,-1.731100514,0.004274933
AK046232,-0.556850001,3.74E-05
AK046241,-1.301437709,0.000161059
AK046257,-0.603636214,0.022780213
AK046815,-0.640987623,0.000133827
AK047065,-0.519099764,0.003365216
AK047112,-0.930796486,0.03802419
AK047247,-0.718448459,0.008161484
AK047343,-0.519834151,0.025578033
AK047419,-0.528221014,0.001972303
AK047461,-0.949360645,0.011169132
AK047643,-1.990021602,0.038937801
AK047645,-0.77562602,0.022721328
AK047774,-0.779167293,9.28E-05
AK047784,-0.889534192,0.004177767
AK048079,-0.501832938,0.008237419
AK048129,-0.614730658,0.013533133
AK048476,-0.562295308,0.032317116
AK048920,-0.600853381,0.046441303
AK049042,-0.612533871,0.045020701
AK049610,-0.607250108,0.003756736
AK049625,-0.69008329,0.023144758
AK049981,-0.850555384,0.002391751
AK050350,-1.146476795,0.004994298
AK051526,-0.583433365,0.036377024
AK051906,-0.582539401,0.01474264
AK051921,-0.568082489,0.003103672
AK051975,-0.573319899,0.001287933
AK052335,-1.030364062,0.002096795
AK052507,-0.566125145,0.00109353
AK052777,-0.510948546,0.039126401
AK053595,-0.774175323,0.021518008
AK054073,-0.714476286,0.001792729
AK076168,-1.085941752,0.018777826
AK076876,-0.634702159,0.005116483
AK078072,-0.722942072,0.038682826
AK078079,-0.624937259,0.00032152
AK078252,-0.97201878,0.037406589
AK078430,-0.718153286,0.002165097
AK078633,-0.546794206,0.005655469
AK079215,-0.550943828,0.033416847
AK079452,-0.766485027,0.007201413
AK079732,-0.651492804,0.000458727
AK080551,-0.57465089,0.022924427
AK080997,-0.958273906,0.043352032
AK081049,-0.518893299,0.000653429
AK081115,-0.592347956,0.004158837
AK081464,-1.20872998,0.000242041
AK081832,-0.81212187,0.001793533
AK082375,-0.952540845,0.036150284
AK083452,-0.597212207,0.038913348
AK083893,-0.650413672,0.003994142
AK085462,-0.599819481,0.010328596
AK086066,-0.876777559,0.005693996
AK086068,-0.948262872,0.01674653
AK086244,-0.783044807,0.022328954
AK086961,-1.007953073,0.002213615
AK087204,-0.643446889,0.001132357
AK089137,-0.842975666,0.000130965
AK1,-0.663729885,3.69E-05
AK1,-2.759352721,5.38E-05
AK1,-0.602650499,0.000993459
AK1,-0.919804635,7.60E-26
AK1,-0.803710694,0.012175113
AK135586,-0.862317475,0.004539547
AK136371,-0.776361356,0.034865829
AK138790,2.046631258,0.048567421
AK139506,2.205246656,0.024622629
AK140063,-0.592031327,0.035412825
AK140790,-0.82507124,0.011772174
AK141924,-0.743683955,0.000608201
AK142900,-0.905723315,0.004600886
AK2,-1.412897443,6.71E-07
AK2,-0.701938903,1.49E-05
AK2,-0.832224779,5.13E-05
AK2,-0.638261565,0.000274027
AK2,-0.897258821,4.16E-05
AK2,-0.774699815,0.000236137
AK2,-0.510332195,0.000434356
AK2,-0.578622027,0.003414543
AK2,-0.756764307,0.020324292
AK3,-0.584025398,1.64E-05
AK3L1,-0.61616792,0.007780884
AK3L2-PS,-2.321534527,6.32E-08
AK4,-1.518018435,1.30E-07
AK4,-1.315017218,3.01E-07
AK4,-0.516794216,0.000504056
AK4,-0.814691982,0.004817712
AK4,-1.006790778,3.02E-17
AK4,-0.73689183,0.000179306
AK4 /// AK4P1,-1.591438588,7.48E-09
AK5,-0.864975924,0.002277278
AK5,-1.212526364,1.35E-45
AK5,-0.660707141,0.004772413
AK8,1.829742618,4.77E-05
AK8,-0.639983315,0.002158687
AK9,-1.757455703,0.000367689
AKAP1,-1.052364861,1.33E-07
AKAP1,-0.980952448,4.79E-06
AKAP1,-0.918011203,7.06E-06
AKAP1,-0.727439095,3.87E-06
AKAP1,-0.65467708,1.60E-05
AKAP1,-0.709164015,0.005170894
AKAP1,-0.728476563,7.29E-05
AKAP1,-0.677871365,0.000107108
AKAP1,-0.531058615,0.000716182
AKAP1,-0.693306166,0.000101136
AKAP1,-1.330483658,2.10E-21
AKAP10,-0.600044706,0.002965599
AKAP11,-0.643489156,1.44E-05
AKAP11,-0.574699941,0.011479083
AKAP11,-0.526731689,7.27E-05
AKAP11,-0.517713698,0.000612814
AKAP11,-0.515975024,0.000619569
AKAP11,-0.788457519,1.32E-38
AKAP11,-0.782768823,0.031681656
AKAP12,-1.698636344,1.98E-08
AKAP12,-1.673738553,4.98E-08
AKAP12,-0.752029061,0.000994326
AKAP12,-0.824655007,0.002459089
AKAP13,-0.618742813,0.001263088
AKAP17A,1.709076189,4.45E-09
AKAP17B,-0.583263537,1.03E-07
AKAP2 /// PALM2-AKAP2,-1.132222798,5.39E-05
AKAP2 /// PALM2-AKAP2,-1.059554639,2.30E-07
AKAP2 /// PALM2-AKAP2,-0.983624513,1.07E-06
AKAP2 /// PALM2-AKAP2,-0.865722912,2.64E-06
AKAP2 /// PALM2-AKAP2,-0.551639572,0.002219221
AKAP5,-1.870071589,5.69E-07
AKAP5,-4.093392661,9.65E-285
AKAP6,-0.830000028,1.41E-05
AKAP6,-0.740126721,8.83E-40
AKAP6,-0.705439996,0.003054656
AKAP7,-0.617207807,9.66E-05
AKAP7,-0.573091297,0.000820584
AKAP7,-0.642386299,0.000135039
AKAP7,-0.727299453,6.54E-16
AKAP7,-0.519169685,0.02722056
AKAP8L,1.547087437,0.002567178
AKAP8L,1.644902928,0.002576854
AKAP9,-0.625071328,0.045976283
AKAP9,-0.540370474,0.03096022
AKNA,2.006817862,1.63E-25
AKP-PS1,4.720020526,0.01918463
AKR1A1,-0.932008569,0.003090408
AKR1B1,-0.678660751,0.001204588
AKR1B1,-0.610676612,0.000272348
AKR1B10,-0.691241298,2.07E-05
AKR1B10,-2.114984195,4.71E-07
AKR1B10,-1.809600563,3.30E-06
AKR1B10 /// AKR1B15,-1.799189765,4.25E-07
AKR1B10 /// AKR1B15,-1.364779302,1.33E-05
AKR1B15,-0.618221077,0.000975801
AKR1B15,-0.904933648,2.83E-05
AKR1B8,4.172478942,5.70E-05
AKR1C1,-0.600143924,0.000180575
AKR1C1 /// AKR1C2,-0.553135948,0.018640745
AKR1C12,4.311303115,0.046394453
AKR1C14,-0.69086873,6.68E-05
AKR1C3,-2.239147777,0.001905405
AKR1D1,3.241280359,6.27E-05
AKR1E1,-0.523102266,0.000761291
AKR1E1,-1.193872778,2.27E-15
AKR7A2,-1.947473847,0.002050438
AKR7A3,-2.141638682,0.012867627
AKR7A5,-0.887932109,7.83E-07
AKT1,-0.633772141,9.63E-06
AKT1,-0.61539933,0.000708473
AKT1,-0.52485666,0.00073846
AKT1,-0.725042697,0.003558964
AKT1,-0.670331523,0.015487835
AKT1,-0.664685521,0.000551024
AKT1S1,-0.64055882,0.009574675
AKT1S1,-1.009017855,0.011319383
AKT2,-1.045649707,1.62E-06
AKT2,-0.722697897,2.43E-05
AKT2,-0.719977041,0.000203247
AKT2,-0.707745033,2.79E-05
AKT2,-0.684586013,0.006376864
AKT2,-0.638130682,0.001163924
AKT2,-0.558421054,0.016335776
AKT2,-0.550621082,0.002632625
AKT2,-0.531485388,0.00163525
AKT2,-0.828651144,7.78E-05
AKT3,-0.524074618,0.000562839
AKT3,-0.704298565,0.001325167
AKTIP,-1.410360231,1.10E-60
ALAD,-0.841937229,0.016171165
ALAD,-0.602872557,9.41E-05
ALAS2,-1.236435355,4.34E-05
ALB,-1.402708962,5.96E-06
ALB,-1.292138115,8.14E-05
ALB,-1.385184209,0.000106412
ALBFM1,2.918176787,0.007330815
ALCAM,-0.711518406,0.002069917
ALCAM,-0.663875056,0.00069856
ALCAM,-0.618840069,0.00278055
ALCAM,1.542482191,5.60E-06
ALCAM,-0.813512753,0.00031375
ALCAM,1.664139951,8.31E-07
ALCAM,-0.687607273,0.001473178
ALCAM,-0.670613782,6.41E-21
ALCAM,-0.540965991,0.005243888
ALDH18A1,-0.833899673,5.41E-05
ALDH18A1,-0.751162997,1.99E-06
ALDH1A1,-0.712514071,0.000121261
ALDH1A1,-0.646124368,0.000344798
ALDH1A1,-0.550818732,0.001106154
ALDH1A2,1.550358902,1.97E-07
ALDH1B1,-1.320512683,1.14E-05
ALDH1B1,-0.785032718,4.92E-05
ALDH1B1,-0.834447555,4.54E-05
ALDH1B1,-0.563479924,0.000340856
ALDH1B1,-0.510575762,0.00054407
ALDH1B1,1.622340979,1.31E-22
ALDH2,-0.578910559,0.000768121
ALDH2,-0.942946373,3.07E-19
ALDH2,-0.75056532,6.60E-05
ALDH3A2,-0.717884248,0.000287148
ALDH3A2,-0.662201284,0.000566743
ALDH3A2,-0.536632968,0.003119842
ALDH3B1,-0.637721998,0.000769122
ALDH3B1,-0.69024276,0.001747679
ALDH3B1,-0.919705125,7.21E-06
ALDH3B1,-0.535325723,0.017342349
ALDH4A1,-0.620493686,3.03E-05
ALDH4A1,-1.432336424,0.010280961
ALDH4A1,-0.559045236,0.001314362
ALDH5A1,-1.388638844,2.40E-08
ALDH5A1,-0.897686422,5.95E-07
ALDH5A1,-1.779309932,2.29E-05
ALDH5A1,-0.708294159,0.00404511
ALDH5A1,-1.097699291,2.01E-05
ALDH5A1,-0.606760462,0.000129602
ALDH5A1,-1.094167907,9.22E-18
ALDH5A1,-1.113215567,2.37E-06
ALDH5A1,-0.693555121,0.000113314
ALDH5A1,-0.644527232,0.000325385
ALDH6A1,-0.853769387,1.02E-05
ALDH7A1,-0.540544768,0.000242313
ALDH7A1,-1.601690157,0.010112079
ALDH7A1,-0.586183228,8.22E-05
ALDH7A1,-0.571050991,9.75E-05
ALDH7A1,-0.607947944,0.000259926
ALDH7A1,-1.085198915,2.20E-33
ALDH7A1,-0.548195109,0.000417586
ALDH7A1,-0.650605744,0.000673969
ALDH7A1,-0.604331005,0.000730374
ALDH8A1,3.983488643,8.98E-07
ALDH9A1,-0.787486035,0.014868994
ALDOA,-0.625451124,4.11E-05
ALDOA,-0.515040305,0.000151766
ALDOB,-0.602271584,0.019763031
ALDOB,-0.802893477,0.000247249
ALDOB,-0.506411037,0.011317732
ALDOC,-1.650437306,6.50E-06
ALDOC,-1.615112523,1.74E-05
ALDOC,-1.600617789,8.02E-05
ALDOC,-1.489332776,6.66E-06
ALDOC,-0.735968603,0.000261879
ALDOC,-0.640452668,6.89E-27
ALDOC,-1.137016718,1.27E-05
ALDOC,-1.137821545,1.43E-05
ALDOC,-1.167172984,2.05E-05
ALDOC,-1.232862496,2.81E-05
ALDOC,-1.034465187,8.22E-05
ALG1,-0.89838207,0.01153843
ALG10B,-0.791515466,1.31E-05
ALG10B,-0.637090459,0.002127444
ALG14,-1.008867522,0.04076949
ALG14,-0.83719782,1.87E-06
ALG1L,-0.56529649,0.00061753
ALG1L6P,-1.630964565,0.00236164
ALG2,-0.626553603,1.11E-13
ALG3,-1.017034668,0.005535604
ALG6,-0.636060411,0.000271625
ALG6,-0.908772559,1.08E-06
ALG6,-0.633074767,0.004877929
ALG8,-0.546644791,0.000213348
ALG8,-0.858260233,0.000129463
ALKBH6,-0.769537428,1.87E-06
ALKBH6,-0.588421342,0.026333929
ALKBH7,-1.713695108,1.15E-07
ALKBH7,-0.609809953,0.003464049
ALKBH7,-0.794744436,0.000379456
ALKBH7,-0.785619046,0.000392006
ALKBH7,-0.622270362,0.000473113
ALKBH7,-0.576769725,0.000797375
ALKBH7,-0.805130756,4.30E-05
ALKBH7,-0.597451272,0.000346343
ALKBH7,-0.607642039,0.005104702
ALKBH8,-0.613603865,6.07E-12
ALMS1,-0.589697941,0.001008454
ALMS1,-0.681863071,0.00169419
ALMS1,-0.530408789,0.000159161
ALMS1P1,2.964705315,0.014637657
ALOX12B,-2.225235148,0.00155125
ALOX5AP,-1.19482607,0.021038483
ALOX5AP,3.082763108,1.89E-66
ALOX5AP,2.326210688,0.036132874
ALOX8,-1.035805242,0.001421195
ALOX8,-0.531142523,0.008877439
ALOXE3,1.934796904,2.08E-07
ALPK1,2.02320193,3.04E-39
ALPK2,1.724673744,1.85E-06
ALPK3,5.909889071,1.40E-07
ALPL,-1.371281157,4.50E-06
ALPL,-1.345076905,1.54E-07
ALPL,-1.195706253,5.23E-07
ALPL,-1.137005895,6.59E-07
ALPL,-1.014403053,0.000240773
ALPL,-0.884618639,0.00013417
ALPL,-0.789461581,0.000919618
ALPL,-0.577177096,0.001881645
ALPL,-0.54369968,0.018226407
ALPL,-1.348212263,7.71E-06
ALS2,-0.682304294,0.003226001
ALX1,4.006991583,0.000172309
AMACR,-1.306894259,3.03E-07
AMACR /// C1QTNF3-AMACR,-0.751465854,6.34E-05
AMACR /// C1QTNF3-AMACR,-0.624354768,0.000169997
AMACR /// C1QTNF3-AMACR,-0.516670805,0.00039703
AMACR /// C1QTNF3-AMACR,-0.615852258,0.0001294
AMACR /// C1QTNF3-AMACR,-0.552674883,0.00266944
AMACR /// C1QTNF3-AMACR,-0.577000751,0.006684131
AMACR /// C1QTNF3-AMACR,-0.619774539,0.011251612
AMBN,-1.047719354,3.26E-06
AMBP,-0.563660976,0.001429069
AMBP,-0.527441285,0.009256096
AMD1,-0.571446878,0.000104339
AMD1,-0.554312706,0.000675301
AMD1,-0.513329093,0.007413714
AMD1,-0.799391106,6.72E-22
AMD1,-1.037020386,0.007070382
AMD2,-0.657622727,0.000194748
AMD2,-0.625581036,0.000251992
AMD2,-0.63175611,0.00026768
AMD2,-0.622534223,0.000279222
AMD2,-0.608297621,0.000536662
AMD2,-0.576255729,0.001574303
AMD2,-0.567419906,0.001766122
AMD2,-1.364745143,0.03745838
AMDHD1,1.578211669,1.55E-08
AMDHD1,-2.308809741,0.004808831
AMDHD2,-0.979633631,0.010715243
AMER1,-0.648398183,0.003456314
AMER1,-0.686548706,0.000315286
AMER2,-0.69087993,2.75E-16
AMER3,-0.734287702,1.14E-10
AMH,-0.500988119,0.002301013
AMHR2,1.694909925,0.004660827
AMHR2,-0.596157926,0.000443373
AMICA1,2.706428399,0.041653052
AMIGO1,-1.512828573,0.000119068
AMIGO1,-0.724601662,6.01E-05
AMIGO1,-0.897102965,3.85E-25
AMIGO1,-0.549390432,0.004093315
AMIGO2,-0.509375622,0.000788911
AMIGO2,-0.675185036,0.001196037
AMIGO2,-1.009078216,0.001569145
AMIGO2,-0.647501895,0.003122523
AMIGO2,-0.541702908,0.024310625
AMN,-1.252732714,0.006480781
AMN,-0.664565482,0.000705735
AMOT,-0.579443261,0.000145323
AMOT,-0.532480848,0.000928625
AMOTL1,-1.13313794,9.66E-07
AMOTL1,-1.07340681,3.19E-06
AMOTL2,1.865283948,6.65E-108
AMPD1,3.661480155,1.12E-06
AMPD2,-1.72576179,0.001783814
AMPD2,-0.503076048,0.000585693
AMPD2,-0.908619908,9.62E-12
AMPD2,-0.651417261,0.010477485
AMPD3,1.57399549,3.90E-06
AMPD3,-0.50433466,0.000819128
AMPD3,1.981734575,1.42E-45
AMPD3,1.500381805,4.75E-05
AMPH,-0.575392351,0.009188979
AMPH,-0.576175822,0.000717544
AMT,-0.598723426,0.000431513
AMT,-1.371612433,1.19E-19
AMY2-PS1,4.575762524,0.000161202
AMY2B,6.912674087,1.66E-05
AMZ1,-1.374894486,0.000408684
AMZ1,-0.863420578,0.000123276
AMZ2,-1.111722208,4.95E-18
AMZ2,-0.513064995,0.000852521
ANAPC1,-0.64836113,0.037056893
ANAPC1,-0.580607687,0.0069002
ANAPC11,-0.562384242,1.85E-05
ANAPC13,-0.627174294,0.001080839
ANAPC15,-1.037131801,0.004634625
ANAPC15,-0.878806542,0.000952471
ANAPC15,-0.974190921,0.000345776
ANAPC16,-0.628034459,0.000113003
ANAPC16,-0.670529772,0.00032582
ANAPC2,-0.734184594,0.019686155
ANAPC5,-0.628415052,4.07E-16
ANAPC7,-0.557433195,0.009661102
ANG,-0.594412621,5.05E-05
ANGEL2,-0.551717296,0.009407034
ANGPT1,-0.573446483,0.006230886
ANGPT1,2.773879307,1.12E-06
ANGPT4,-1.404608469,0.036311901
ANGPT4,2.509823013,3.18E-09
ANGPTL2,-1.392517112,5.00E-06
ANGPTL2,-0.672801733,0.000202307
ANGPTL2,-0.510889306,0.00050953
ANGPTL2,-1.079395201,7.18E-05
ANGPTL4,-0.736430704,0.002272489
ANGPTL4,1.801725168,0.019756263
ANGPTL4,3.100029515,3.83E-32
ANGPTL4,1.971618595,0.000842084
ANGPTL6,-0.987074182,0.005348489
ANGPTL6,-0.564766184,0.004350792
ANGPTL6,-0.508899707,0.001767346
ANK,-0.733266091,2.32E-05
ANK,-0.688600812,1.52E-18
ANK,-0.654205076,4.29E-05
ANK,-0.930444032,0.030690323
ANK1,-0.571312625,0.000752854
ANK2,-0.774330977,1.38E-05
ANK2,-0.780659644,6.48E-49
ANK2,-0.644934864,0.001759976
ANK2,-0.551537865,0.005381262
ANK2,-0.928166592,0.024461892
ANK3,-0.778697059,0.000222816
ANK3,-0.807157393,0.000563219
ANK3,-1.005209985,6.12E-70
ANK3,-0.697678322,0.001228319
ANKDD1B,2.078669218,2.65E-07
ANKFN1,-0.642477384,0.007973274
ANKFN1,-0.857335116,3.08E-06
ANKFY1,-1.187778434,8.23E-08
ANKFY1,-0.582618925,0.000493625
ANKFY1,-0.675381945,0.001072686
ANKH /// TSPAN3,-0.630591005,7.76E-06
ANKHD1,-0.891415651,0.003153658
ANKK1,-1.778631982,0.002391681
ANKLE1,-2.093979814,3.11E-07
ANKLE1,-0.568244041,0.003326536
ANKLE1,-0.567341715,0.000661075
ANKLE1,-0.515683018,8.64E-05
ANKLE1,1.639324813,0.017418906
ANKLE1,-0.722272547,0.002151496
ANKLE1,3.416806765,0.000519255
ANKLE1,-0.534465791,0.00083531
ANKMY1,2.428648384,5.36E-14
ANKRA2,-0.751646953,1.57E-10
ANKRD1,5.95423096,7.91E-07
ANKRD1,2.422674554,0.041575346
ANKRD1,1.52579738,6.28E-05
ANKRD1,1.819310022,7.59E-06
ANKRD11,-0.569972322,0.002516137
ANKRD11,-0.524812357,0.000963284
ANKRD12,-0.701664293,0.02617152
ANKRD13C,-0.629029684,0.000648703
ANKRD13D,-0.655853428,8.69E-05
ANKRD13D,-1.448711617,1.70E-26
ANKRD13D,-0.522949259,0.000942947
ANKRD16,-1.097102997,0.005912548
ANKRD17,-0.546657356,0.001919333
ANKRD19P,-0.537672537,0.000356827
ANKRD2,-0.837921435,0.002385663
ANKRD2,-0.515577555,0.008209181
ANKRD20A5P,-0.761441026,0.000382984
ANKRD22,6.308959457,6.28E-09
ANKRD23,-0.550909887,0.010758774
ANKRD24,1.529572035,0.000834363
ANKRD24,-1.428237663,1.31E-16
ANKRD24,-0.943477994,0.028734981
ANKRD26,-0.672630184,0.000185794
ANKRD26,-1.731304805,4.42E-36
ANKRD26,-0.939358393,0.01531664
ANKRD26,-0.615083219,0.007134168
ANKRD26,-0.504535776,0.003213236
ANKRD27,-0.610953959,0.000142451
ANKRD27,-1.220217419,8.47E-20
ANKRD27,-0.560104792,0.008176187
ANKRD29,-0.778896699,9.97E-05
ANKRD29,-1.4660043,6.61E-21
ANKRD29,-0.755822827,0.036648652
ANKRD32,-1.276560846,0.001066586
ANKRD32,-0.727685266,0.001111988
ANKRD32,-0.515907964,0.000125068
ANKRD34A,-1.393911857,4.68E-23
ANKRD34A,-0.515982553,0.002439184
ANKRD34B,-0.530980477,0.00014918
ANKRD34B,-1.176349276,9.04E-05
ANKRD34B,-0.986098157,0.000552321
ANKRD34B,-1.031959972,9.28E-15
ANKRD34C,-1.056807911,2.28E-05
ANKRD34C,-1.827653719,5.63E-22
ANKRD34C,-0.648742613,0.010241597
ANKRD35,-1.054135124,6.10E-06
ANKRD36,-0.598559373,0.003922127
ANKRD36,6.342610128,5.65E-09
ANKRD36 /// ANKRD36C,-0.905560327,0.000469751
ANKRD37,-0.913868835,0.002743516
ANKRD40,-0.790318532,1.07E-27
ANKRD40,-0.806362967,5.57E-05
ANKRD40,-0.773959883,0.03132256
ANKRD43,-0.916378238,0.001927071
ANKRD43,-2.204101273,8.61E-06
ANKRD43,-1.511063919,0.015299961
ANKRD44,-0.687098802,0.001341671
ANKRD45,-1.279426123,1.34E-15
ANKRD45,-0.630981504,0.006514815
ANKRD46,-0.549207171,0.000154811
ANKRD46,-0.501284265,0.00056684
ANKRD50,-0.828119594,1.43E-05
ANKRD50,-0.637069823,0.005789625
ANKRD6,-1.562093391,0.048657479
ANKRD6,-0.616710059,0.005543008
ANKRD6,-0.812070281,6.43E-15
ANKRD6,-0.767806875,0.000447132
ANKRD63,-4.086339047,2.31E-83
ANKRD65,-2.51275711,0.044373522
ANKRD66,2.23816172,3.89E-05
ANKRD9,-0.578119251,0.000138346
ANKRD9,-1.052578864,0.001814989
ANKS1B,-0.877457321,0.000391418
ANKS1B,-0.538541917,3.56E-20
ANKS4B,1.713021068,0.042028761
ANKS6,-0.546020621,0.000545065
ANKS6,-1.731133812,0.034431739
ANKS6,-0.870773899,4.58E-05
ANKUB1,-0.647363743,0.001188738
ANKZF1,-0.670529635,0.007882898
ANLN,-0.526364103,9.41E-05
ANLN,-0.509451416,0.002999358
ANLN,-0.531744308,0.006303393
ANO1,-1.396796401,4.92E-05
ANO1,-1.209646235,2.09E-05
ANO1,-0.767409337,0.000207884
ANO10,-0.509224229,0.00375812
ANO2,-0.832299596,0.00012735
ANO3,-2.30227206,2.66E-06
ANO3,-2.258847289,3.49E-06
ANO3,-2.153316026,4.01E-182
ANO5,-0.852950154,0.000157503
ANO7,-1.174063306,1.69E-07
ANO7,3.525903675,0.000272435
ANO7,-0.504083415,0.004272285
ANO7,-0.513884071,0.000920219
ANO8,-0.897688485,1.44E-05
ANO8,-1.156495963,1.34E-17
ANP32-PS,-1.343086526,0.00015238
ANP32A,-0.870527287,7.89E-07
ANP32A,-0.594029885,1.13E-05
ANP32A,-0.590544196,2.70E-05
ANP32A,-0.696124822,0.001494217
ANP32A,-0.794911336,1.10E-05
ANP32A,-0.587226393,0.000299666
ANP32A,-0.541371342,0.000306661
ANP32A,-0.50859536,0.000472623
ANP32A,-0.690864781,2.55E-17
ANP32A,-0.716253077,0.00142881
ANP32A,-0.508587435,0.023036557
ANP32A,-1.296112776,2.03E-05
ANP32B,-0.667756276,0.000837719
ANP32E,-0.515762956,9.96E-08
ANP32E,-0.965052493,0.000139929
ANP32E,-0.503871568,0.000884459
ANP32E,-0.548845227,0.007584725
ANP32E,-0.544801404,0.009715734
ANP32E,-0.523662856,0.045356351
ANPEP,-1.39329345,0.001048171
ANTKMT,-0.875407303,0.01096032
ANTKMT,-1.199668391,2.26E-22
ANTXR1,-0.963741833,3.15E-06
ANTXR1,-1.803259169,0.012577495
ANTXR1,-0.612791588,0.000205063
ANTXR1,-0.649821526,8.02E-05
ANTXR1,-0.520294847,0.003944857
ANTXR2,3.001024138,1.44E-62
ANXA1,2.512303015,2.26E-10
ANXA1,2.579519993,4.66E-10
ANXA1,2.584221044,1.87E-10
ANXA1,2.621558728,3.14E-10
ANXA1,1.527959663,1.47E-05
ANXA1,2.940183332,2.93E-49
ANXA1,1.985032839,0.032206897
ANXA10,3.080507079,0.000995105
ANXA10,2.357380926,0.013179588
ANXA11,-0.636541439,6.56E-05
ANXA11,-0.603289918,0.000104999
ANXA11,-0.65164152,0.000148427
ANXA11,-0.583677905,0.000440907
ANXA11,-0.568115955,0.000691861
ANXA11,-0.537403246,0.002898434
ANXA11,-0.531943002,0.005261619
ANXA11,-0.56781552,0.000267617
ANXA11,-0.501052714,0.001272246
ANXA11,-0.552331776,0.001601234
ANXA11,-0.580875,0.002785436
ANXA11,-0.505927659,0.00441107
ANXA11,-0.638500342,0.000176671
ANXA11,-0.555488142,0.000422197
ANXA11,-0.527863864,0.002340914
ANXA11,-0.545689495,0.007687127
ANXA13,2.883318228,0.043587097
ANXA13,-0.533102778,0.004090766
ANXA2,2.03136935,5.51E-05
ANXA2,3.133517065,2.30E-192
ANXA2,2.238174304,3.14E-06
ANXA3,1.869496275,7.29E-07
ANXA3,-0.523818436,0.001232445
ANXA3,2.74326826,1.20E-104
ANXA3,1.874956004,3.13E-05
ANXA4,2.62113967,2.61E-68
ANXA4,2.020218088,2.62E-07
ANXA5,-0.656243987,1.81E-05
ANXA5,-0.594991974,0.00049845
ANXA6,-0.723469436,0.000602511
ANXA8,5.440151376,0.002343806
ANXA9,-2.138312042,3.73E-05
ANXA9,-0.672823075,0.001375182
AOAH,1.543490001,3.83E-06
AOAH,5.458447494,1.83E-135
AOAH,-0.534670006,0.000409735
AOC1,-1.731405383,0.037884832
AP1AR,-0.682159638,1.56E-14
AP1GBP1,-0.768365772,0.025777564
AP1M1,-0.517528831,0.010576544
AP1M1,-0.649871657,0.01427745
AP1M1,-1.016575624,0.000128094
AP1M2,-0.585158024,0.000199742
AP1M2,-0.902167213,8.50E-05
AP1S1,-0.812413632,5.26E-17
AP1S2,2.112275376,8.54E-06
AP1S3,-0.665622779,2.18E-05
AP1S3,-0.65508761,0.000232153
AP1S3,1.656766377,3.97E-14
AP2A1,-0.767095708,1.42E-22
AP2A1,-0.557376879,0.001127413
AP2A2,-1.106969318,0.015190253
AP2B1,-0.545581244,1.05E-22
AP2M1,-0.663729111,1.32E-22
AP2M1,-1.197826201,0.002218445
AP2M1,-1.591277365,0.003302076
AP2M1,-1.534522334,0.00428756
AP2M1,-0.877765516,0.005075104
AP2M1,-0.549855905,0.000760131
AP2M1,-0.538667283,0.007015247
AP2S1,-0.877591878,0.000706607
AP2S1,-0.510329732,0.000622304
AP3B2,-0.770728999,2.07E-23
AP3B2,-0.696821118,0.015833825
AP3M1,-0.649859297,4.02E-05
AP3M1,-0.625596102,0.000455073
AP3M1,-0.587016587,7.86E-10
AP3M2,-0.626698691,0.000621613
AP3M2,-0.675472882,0.036082966
AP3M2,-0.794686916,1.29E-05
AP3M2,-0.792937522,1.54E-21
AP3M2,-0.53930238,0.01583913
AP3S2,-0.641876131,7.16E-05
AP5M1,-0.578344546,0.000377072
AP5M1,-0.654505072,0.002818553
AP5S1,-0.672798146,0.002190475
AP5S1,-0.594869643,0.001100619
APBA1,-1.577900126,0.031659239
APBA1,-0.784400883,2.58E-05
APBA1,-0.601414349,6.05E-09
APBA1,-0.618402092,0.000901627
APBA2,-0.616111549,0.00027585
APBA2,-0.838126503,2.57E-05
APBA2,-0.562600146,0.001091741
APBA2,-0.685668993,3.47E-17
APBB1,-0.561152204,0.000212398
APBB1,-0.980339678,1.11E-47
APBB1IP,-0.766770968,0.034737191
APBB1IP,1.72664744,6.04E-28
APBB2,-1.06094593,0.000311696
APBB2,-1.004300314,5.98E-07
APBB2,-0.912264694,5.39E-05
APBB2,-0.818860645,1.89E-05
APBB2,-0.7644602,5.91E-05
APBB2,-0.556844602,0.001774966
APC,-0.765523042,3.27E-05
APC,-1.226518168,8.30E-91
APC,-0.729323781,0.001093288
APC2,-0.908686251,2.94E-05
APC2,-1.083686258,1.56E-41
APC2,-0.803718698,0.000502647
APCDD1,-0.738597122,5.83E-06
APCDD1,-0.934838643,0.002730376
APEH,-0.769352395,0.00055797
APEH,-0.977797597,1.30E-05
APELA,-1.758536729,1.77E-07
APELA,-0.733520172,0.001928531
APEX1,-0.69392515,0.03852525
APEX1,-0.7913989,0.000146628
APEX2,-0.766131868,0.000981781
APEX2,-0.640024881,9.30E-06
APH1A,-0.765014623,3.18E-05
APH1A,-0.665891161,0.000200589
APH1A,-0.731715947,0.001696037
APH1A,-0.550910397,0.002229655
APH1A,-0.541052523,0.005054996
